z,x,y
1.679641366,5.5,1405.5
1.78988862,105.5,1405.5
1.728192568,205.5,1405.5
1.675214171,305.5,1405.5
1.589024782,405.5,1405.5
1.561647654,505.5,1405.5
1.642940044,605.5,1405.5
1.640860558,705.5,1405.5
1.7763623,805.5,1405.5
1.741992235,905.5,1405.5
1.70584321,1005.5,1405.5
1.687753677,1105.5,1405.5
1.706997633,1205.5,1405.5
1.746613979,1305.5,1405.5
1.739280224,5.5,1305.5
1.794535518,105.5,1305.5
1.795216322,205.5,1305.5
1.684585929,305.5,1305.5
1.585065126,405.5,1305.5
1.566541672,505.5,1305.5
1.659527659,605.5,1305.5
1.709096432,705.5,1305.5
1.763400555,805.5,1305.5
1.776052833,905.5,1305.5
1.761915088,1005.5,1305.5
1.666459918,1105.5,1305.5
1.660122156,1205.5,1305.5
1.790088892,1305.5,1305.5
1.704094648,5.5,1205.5
1.789491534,105.5,1205.5
1.799271345,205.5,1205.5
1.696026921,305.5,1205.5
1.65065217,405.5,1205.5
1.670107722,505.5,1205.5
1.726579666,605.5,1205.5
1.725311518,705.5,1205.5
1.759731412,805.5,1205.5
1.716192245,905.5,1205.5
1.703787446,1005.5,1205.5
1.657325745,1105.5,1205.5
1.675931454,1205.5,1205.5
1.724891782,1305.5,1205.5
1.742094755,5.5,1105.5
1.72488153,105.5,1105.5
1.694685102,205.5,1105.5
1.711401463,305.5,1105.5
1.65194869,405.5,1105.5
1.72516644,505.5,1105.5
1.726627111,605.5,1105.5
1.723971128,705.5,1105.5
1.690092206,805.5,1105.5
1.673484206,905.5,1105.5
1.656108618,1005.5,1105.5
1.586740017,1105.5,1105.5
1.632902265,1205.5,1105.5
1.692496896,1305.5,1105.5
1.683984041,5.5,1005.5
1.718924165,105.5,1005.5
1.714581609,205.5,1005.5
1.68762958,305.5,1005.5
1.695188522,405.5,1005.5
1.681119204,505.5,1005.5
1.751476526,605.5,1005.5
1.722449422,705.5,1005.5
1.63183558,805.5,1005.5
1.61584115,905.5,1005.5
1.626942635,1005.5,1005.5
1.608829498,1105.5,1005.5
1.580135942,1205.5,1005.5
1.622275472,1305.5,1005.5
1.553267002,5.5,905.5
1.717507839,105.5,905.5
1.717335582,205.5,905.5
1.718679428,305.5,905.5
1.647652745,405.5,905.5
1.68743515,505.5,905.5
1.686862588,605.5,905.5
1.651057482,705.5,905.5
1.580908298,805.5,905.5
1.552915692,905.5,905.5
1.586730123,1005.5,905.5
1.562331557,1105.5,905.5
1.584198236,1205.5,905.5
1.675207853,1305.5,905.5
1.570535183,5.5,805.5
1.688617587,105.5,805.5
1.7787292,205.5,805.5
1.734442115,305.5,805.5
1.743135333,405.5,805.5
1.704413772,505.5,805.5
1.663600683,605.5,805.5
1.665332198,705.5,805.5
1.672713518,805.5,805.5
1.563868761,905.5,805.5
1.587220192,1005.5,805.5
1.571306467,1105.5,805.5
1.57598567,1205.5,805.5
1.69621098,1305.5,805.5
1.681391001,5.5,705.5
1.675402284,105.5,705.5
1.783273935,205.5,705.5
1.76211071,305.5,705.5
1.707348108,405.5,705.5
1.712631702,505.5,705.5
1.682421327,605.5,705.5
1.638947725,705.5,705.5
1.636125445,805.5,705.5
1.63669765,905.5,705.5
1.650921106,1005.5,705.5
1.579474211,1105.5,705.5
1.649569631,1205.5,705.5
1.617998123,1305.5,705.5
1.700573802,5.5,605.5
1.690655828,105.5,605.5
1.687759042,205.5,605.5
1.712158799,305.5,605.5
1.712822914,405.5,605.5
1.732247114,505.5,605.5
1.703363061,605.5,605.5
1.633150816,705.5,605.5
1.658162951,805.5,605.5
1.633790851,905.5,605.5
1.708369017,1005.5,605.5
1.675011396,1105.5,605.5
1.633745432,1205.5,605.5
1.662285924,1305.5,605.5
1.60118258,5.5,505.5
1.665906549,105.5,505.5
1.590076089,205.5,505.5
1.638281941,305.5,505.5
1.666090131,405.5,505.5
1.658762932,505.5,505.5
1.62347877,605.5,505.5
1.611287594,705.5,505.5
1.700601935,805.5,505.5
1.721858263,905.5,505.5
1.725498796,1005.5,505.5
1.70178616,1105.5,505.5
1.690765381,1205.5,505.5
1.708221197,1305.5,505.5
1.592455864,5.5,405.5
1.508438587,105.5,405.5
1.553917885,205.5,405.5
1.55073607,305.5,405.5
1.62778008,405.5,405.5
1.659668207,505.5,405.5
1.650403142,605.5,405.5
1.675110698,705.5,405.5
1.749652267,805.5,405.5
1.74888885,905.5,405.5
1.677368045,1005.5,405.5
1.702510715,1105.5,405.5
1.660006523,1205.5,405.5
1.704628468,1305.5,405.5
1.636196733,5.5,305.5
1.623144031,105.5,305.5
1.626286387,205.5,305.5
1.648381114,305.5,305.5
1.611358881,405.5,305.5
1.694826245,505.5,305.5
1.755254626,605.5,305.5
1.783450365,705.5,305.5
1.763343573,805.5,305.5
1.774358392,905.5,305.5
1.679302692,1005.5,305.5
1.669024706,1105.5,305.5
1.659975648,1205.5,305.5
1.639653206,1305.5,305.5
1.590317607,5.5,205.5
1.627180338,105.5,205.5
1.648581386,205.5,205.5
1.621760011,305.5,205.5
1.68769443,405.5,205.5
1.734915733,505.5,205.5
1.742997766,605.5,205.5
1.82082057,705.5,205.5
1.807305694,805.5,205.5
1.757510781,905.5,205.5
1.649995446,1005.5,205.5
1.608500957,1105.5,205.5
1.625582814,1205.5,205.5
1.618475199,1305.5,205.5
1.566132069,5.5,105.5
1.572522283,105.5,105.5
1.661671042,205.5,105.5
1.663495183,305.5,105.5
1.615762591,405.5,105.5
1.709240437,505.5,105.5
1.699363351,605.5,105.5
1.791935086,705.5,105.5
1.768909693,805.5,105.5
1.769542813,905.5,105.5
1.634599328,1005.5,105.5
1.626940966,1105.5,105.5
1.62967813,1205.5,105.5
1.628558278,1305.5,105.5
1.601920128,5.5,5.5
1.591044188,105.5,5.5
1.636526108,205.5,5.5
1.680915952,305.5,5.5
1.688730001,405.5,5.5
1.719665408,505.5,5.5
1.74945116,605.5,5.5
1.796709061,705.5,5.5
1.75564456,805.5,5.5
1.762637854,905.5,5.5
1.709897995,1005.5,5.5
1.693684697,1105.5,5.5
1.59879458,1205.5,5.5
1.601827145,1305.5,5.5
